27 дек. 2022 08:41:52,121  INFO StartLogger - Initializing main logic for module : #37 of 42 Chat (actual: 28)
27 дек. 2022 08:41:52,121  INFO StartLogger - Initializing main logic for module : #38 of 42 Scheduler (actual: 12)
27 дек. 2022 08:41:52,122  INFO StartLogger - Initializing main logic for module : #39 of 42 SQLUtils (actual: 22)
27 дек. 2022 08:41:52,126  INFO StartLogger - Initializing main logic for module : #40 of 42 Profiler (actual: 26)
27 дек. 2022 08:41:52,223  INFO StartLogger - Initializing main logic for module : #41 of 42 SchedulerDefaultData (actual: 14)
27 дек. 2022 08:41:52,232  INFO StartLogger - Initializing main logic for module : #42 of 42 Backup (actual: 15)
27 дек. 2022 08:41:52,288  INFO StartLogger - Finalizing classes
27 дек. 2022 08:41:52,288  INFO StartLogger - Checking for duplicate elements
27 дек. 2022 08:41:52,288  INFO StartLogger - Finalizing groups
27 дек. 2022 08:41:52,312  INFO StartLogger - Filling implicit cases
27 дек. 2022 08:41:52,312  INFO StartLogger - Finalizing abstract actions
27 дек. 2022 08:41:52,312  INFO StartLogger - Initializing abstract properties
27 дек. 2022 08:41:52,361  INFO StartLogger - Checking abstract
27 дек. 2022 08:41:52,361  INFO StartLogger - Initializing fields for data and materialized properties
27 дек. 2022 08:41:52,361  INFO StartLogger - Initializing class aggr props
27 дек. 2022 08:41:52,386  INFO StartLogger - Looking for recursions in abstract actions / properties
27 дек. 2022 08:41:52,408  INFO StartLogger - Finalizing tables
27 дек. 2022 08:41:52,409  INFO StartLogger - Finalizing navigator elements
27 дек. 2022 08:41:52,410  INFO StartLogger - Initializing reflection events
27 дек. 2022 08:41:52,410  INFO StartLogger - Initializing indices
27 дек. 2022 08:41:52,410  INFO StartLogger - Setup property policy
27 дек. 2022 08:41:52,410  INFO StartLogger - Setup drill-down
27 дек. 2022 08:41:52,410  INFO StartLogger - Setup reset files
27 дек. 2022 08:41:52,516  INFO StartLogger - Setup action policy
27 дек. 2022 08:41:52,516  INFO StartLogger - Showing dependencies
27 дек. 2022 08:41:52,542  INFO StartLogger - Error starting server, server will be stopped.
27 дек. 2022 08:41:52,543  INFO StartLogger - Server is stopping...
27 дек. 2022 08:41:52,543  INFO StartLogger - Logics instance is stopping...
